year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,9,OO,SkyWest Airlines Inc.,STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",340,80,36,1,1,0,42,3,1,4969,2409,51,62,0,
2022,9,OO,SkyWest Airlines Inc.,SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",142,8,7,1,0,0,0,1,1,707,205,502,0,0,
2022,9,OO,SkyWest Airlines Inc.,SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",60,8,4,0,0,0,4,0,1,328,153,0,0,0,
2022,9,OO,SkyWest Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",48,6,5,0,0,0,1,0,0,384,316,0,0,0,
2022,9,OO,SkyWest Airlines Inc.,TBN,"Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field",52,7,4,1,0,0,2,0,1,635,386,99,0,0,
2022,9,OO,SkyWest Airlines Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",115,27,17,5,1,0,4,4,0,1538,810,334,84,0,
2022,9,OO,SkyWest Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",331,42,31,1,0,0,10,0,0,2562,1704,67,0,0,
2022,9,OO,SkyWest Airlines Inc.,TUS,"Tucson, AZ: Tucson International",531,69,38,8,3,0,20,1,0,3845,1583,760,237,0,
2022,9,OO,SkyWest Airlines Inc.,TVC,"Traverse City, MI: Cherry Capital",86,19,16,1,0,0,2,0,0,819,648,57,0,0,
2022,9,OO,SkyWest Airlines Inc.,TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",30,2,2,0,0,0,0,0,0,708,708,0,0,0,
2022,9,OO,SkyWest Airlines Inc.,TYS,"Knoxville, TN: McGhee Tyson",112,20,17,1,0,0,2,0,0,1130,938,91,0,0,
2022,9,OO,SkyWest Airlines Inc.,VCT,"Victoria, TX: Victoria Regional",52,4,2,0,1,0,1,0,0,100,36,0,38,0,
2022,9,OO,SkyWest Airlines Inc.,VEL,"Vernal, UT: Vernal Regional",31,3,3,0,0,0,0,0,0,912,912,0,0,0,
2022,9,OO,SkyWest Airlines Inc.,WYS,"West Yellowstone, MT: Yellowstone",60,3,2,1,0,0,0,0,1,136,61,75,0,0,
2022,9,OO,SkyWest Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",174,28,22,1,0,0,5,0,0,1950,1738,18,0,0,
2022,9,OO,SkyWest Airlines Inc.,XWA,"Williston, ND: Williston Basin International",148,12,9,1,0,0,2,0,0,639,407,112,0,0,
2022,9,OO,SkyWest Airlines Inc.,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",125,16,11,1,0,0,4,0,1,1533,1163,22,0,0,
2022,9,QX,Horizon Air,AKN,"King Salmon, AK: King Salmon Airport",24,16,3.12,0,2.06,0,10.82,0,0,685,118,0,71,0,
2022,9,QX,Horizon Air,ALW,"Walla Walla, WA: Walla Walla Regional",36,2,0,0,1.15,0,0.85,0,0,57,0,0,24,0,
2022,9,QX,Horizon Air,ANC,"Anchorage, AK: Ted Stevens Anchorage International",154,73,24.1,0,17.68,10.09,21.13,1,0,4058,1035,0,680,381,
2022,9,QX,Horizon Air,AUS,"Austin, TX: Austin - Bergstrom International",19,1,0,0,0,0,1,0,1,16,0,0,0,0,
2022,9,QX,Horizon Air,BIL,"Billings, MT: Billings Logan International",85,17,9.44,0,4.77,0,2.79,0,0,507,305,0,116,0,
2022,9,QX,Horizon Air,BLI,"Bellingham, WA: Bellingham International",172,11,4.06,0,1.28,0,5.67,0,0,574,174,0,61,0,
2022,9,QX,Horizon Air,BOI,"Boise, ID: Boise Air Terminal",489,64,38,2,10.49,0,13.51,1,0,3207,1724,258,290,0,
2022,9,QX,Horizon Air,BZN,"Bozeman, MT: Bozeman Yellowstone International",24,2,0.3,0,1,0,0.7,0,0,133,34,0,20,0,
2022,9,QX,Horizon Air,DLG,"Dillingham, AK: Dillingham Airport",30,8,1.23,0,3.36,0,3.42,1,0,238,40,0,69,0,
2022,9,QX,Horizon Air,EAT,"Wenatchee, WA: Pangborn Memorial",36,6,2.12,0,0.88,0,3,0,0,199,35,0,14,0,
2022,9,QX,Horizon Air,EUG,"Eugene, OR: Mahlon Sweet Field",180,26,10.65,0,3.72,0,11.63,0,0,1246,526,0,104,0,
2022,9,QX,Horizon Air,FAI,"Fairbanks, AK: Fairbanks International",47,18,2.12,0,0.46,0,15.42,0,0,795,102,0,19,0,
2022,9,QX,Horizon Air,FAT,"Fresno, CA: Fresno Yosemite International",5,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,9,QX,Horizon Air,FCA,"Kalispell, MT: Glacier Park International",115,15,5.02,0,3.58,0,6.4,0,0,641,230,0,105,0,
2022,9,QX,Horizon Air,GEG,"Spokane, WA: Spokane International",500,59,19.85,0,12.91,0,26.23,2,0,2307,988,0,318,0,
2022,9,QX,Horizon Air,GTF,"Great Falls, MT: Great Falls International",30,10,3.82,0,4.26,0,1.92,0,0,465,174,0,86,0,
2022,9,QX,Horizon Air,HLN,"Helena, MT: Helena Regional",30,6,2.31,0,2.22,0,1.47,0,1,445,133,0,70,0,
2022,9,QX,Horizon Air,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",24,2,0.19,0,1,0,0.81,0,0,58,8,0,16,0,
2022,9,QX,Horizon Air,IDA,"Idaho Falls, ID: Idaho Falls Regional",54,11,7.12,0,1.99,0,1.89,0,1,349,272,0,41,0,
2022,9,QX,Horizon Air,LAS,"Las Vegas, NV: McCarran International",44,11,3.34,0.77,5.88,0,1,0,0,606,284,44,250,0,
2022,9,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",9,1,0,0,0,0,1,0,0,35,0,0,0,0,
2022,9,QX,Horizon Air,MFR,"Medford, OR: Rogue Valley International - Medford",215,21,9.65,1,3.29,0,7.06,1,0,921,295,195,118,0,
2022,9,QX,Horizon Air,MSO,"Missoula, MT: Missoula International",141,17,7.16,0,4.89,0,4.95,0,1,662,221,0,121,0,
2022,9,QX,Horizon Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,9,QX,Horizon Air,OAK,"Oakland, CA: Metropolitan Oakland International",35,7,4.04,0,1.06,0,1.91,0,0,187,120,0,24,0,
2022,9,QX,Horizon Air,ONT,"Ontario, CA: Ontario International",5,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,9,QX,Horizon Air,ORD,"Chicago, IL: Chicago O'Hare International",27,5,3.71,0,0.82,0,0.47,0,0,257,181,0,52,0,
2022,9,QX,Horizon Air,PAE,"Everett, WA: Snohomish County",287,55,16.65,0.16,10.13,0,28.06,1,1,3050,863,7,312,0,
2022,9,QX,Horizon Air,PDX,"Portland, OR: Portland International",605,63,30.59,1,12.15,0,19.26,0,0,2682,1321,19,299,0,
2022,9,QX,Horizon Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",73,12,6,0,5.11,0,0.9,0,1,881,622,0,113,0,
2022,9,QX,Horizon Air,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",201,23,4.8,0,5.37,0,12.82,0,1,1037,243,0,180,0,
2022,9,QX,Horizon Air,PSP,"Palm Springs, CA: Palm Springs International",2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,9,QX,Horizon Air,PUW,"Pullman, WA: Pullman Moscow Regional",160,20,8.99,1,6.84,0,3.18,0,0,713,334,32,165,0,
2022,9,QX,Horizon Air,RDD,"Redding, CA: Redding Municipal",30,3,1.35,0,0.96,0,0.68,0,0,54,24,0,17,0,
2022,9,QX,Horizon Air,RDM,"Bend/Redmond, OR: Roberts Field",242,32,16.66,0,8.4,0,6.94,1,0,1096,651,0,202,0,
2022,9,QX,Horizon Air,RNO,"Reno, NV: Reno/Tahoe International",69,10,5.9,0,1.54,0,2.56,0,1,437,210,0,50,0,
2022,9,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",30,6,2.11,0,1.4,0,2.49,0,0,553,228,0,117,0,
2022,9,QX,Horizon Air,SBA,"Santa Barbara, CA: Santa Barbara Municipal",18,1,1,0,0,0,0,0,0,105,105,0,0,0,
2022,9,QX,Horizon Air,SBP,"San Luis Obispo, CA: San Luis County Regional",38,13,6.93,0,5.07,0,1,0,0,413,235,0,100,0,
2022,9,QX,Horizon Air,SCC,"Deadhorse, AK: Deadhorse Airport",24,6,0,4.97,1.03,0,0,0,0,1063,0,1037,26,0,
2022,9,QX,Horizon Air,SEA,"Seattle, WA: Seattle/Tacoma International",2799,362,86.08,3.48,129.99,0,142.45,2,2,19217,6089,206,4664,0,
2022,9,QX,Horizon Air,SFO,"San Francisco, CA: San Francisco International",203,32,9.08,0,8.2,0,14.72,1,1,1546,399,0,274,0,
2021,11,OO,SkyWest Airlines Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",54,4,3,0,0,0,1,0,0,228,204,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",44,5,2,0,0,0,3,0,0,396,107,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,BUR,"Burbank, CA: Bob Hope",291,27,12,2,0,0,13,2,2,2059,540,293,0,0,
2021,11,OO,SkyWest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",53,16,6,0,0,0,10,1,0,781,188,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",233,26,19,0,0,0,7,0,1,2027,1039,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CDC,"Cedar City, UT: Cedar City Regional",50,1,1,0,0,0,0,0,0,19,19,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CGI,"Cape Girardeau, MO: Cape Girardeau Regional",51,4,4,0,0,0,0,1,0,795,795,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CHA,"Chattanooga, TN: Lovell Field",30,6,4,1,0,0,1,0,1,184,117,50,0,0,
2021,11,OO,SkyWest Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",52,4,4,0,0,0,0,0,0,216,216,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",216,30,18,0,0,0,12,0,0,2579,1720,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CIU,"Sault Ste. Marie, MI: Chippewa County International",60,9,7,2,0,0,0,0,0,359,195,164,0,0,
2021,11,OO,SkyWest Airlines Inc.,CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",58,11,7,0,0,0,4,0,0,870,293,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",320,50,35,7,0,0,8,1,1,3046,2263,377,0,0,
2021,11,OO,SkyWest Airlines Inc.,CLL,"College Station/Bryan, TX: Easterwood Field",4,1,0,0,0,0,1,0,0,27,0,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",88,7,7,0,0,0,0,0,0,188,188,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",243,61,48,10,0,0,3,1,1,4988,3708,1008,0,0,
2021,11,OO,SkyWest Airlines Inc.,CMX,"Hancock/Houghton, MI: Houghton County Memorial",59,10,9,0,0,0,1,1,0,579,542,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CNY,"Moab, UT: Canyonlands Field",59,2,2,0,0,0,0,0,0,115,115,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,COD,"Cody, WY: Yellowstone Regional",60,12,11,0,0,0,1,0,2,743,677,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",379,41,30,1,0,0,10,0,0,2026,1584,41,0,0,
2021,11,OO,SkyWest Airlines Inc.,COU,"Columbia, MO: Columbia Regional",134,21,9,2,0,0,10,0,1,1008,403,133,0,0,
2021,11,OO,SkyWest Airlines Inc.,CPR,"Casper, WY: Casper/Natrona County International",113,9,8,0,0,0,1,0,0,398,361,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",61,8,6,1,0,0,1,0,0,242,187,23,0,0,
2021,11,OO,SkyWest Airlines Inc.,CSG,"Columbus, GA: Columbus Airport",29,3,1,0,0,0,2,0,0,94,23,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",128,22,17,1,0,0,4,0,0,1085,586,65,0,0,
2021,11,OO,SkyWest Airlines Inc.,CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",58,12,9,0,0,0,3,1,0,3661,3513,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",49,13,6,0,2,0,5,0,0,632,204,0,78,0,
2021,11,OO,SkyWest Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",54,10,3,0,0,0,7,0,0,585,228,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",204,24,23,1,0,0,0,1,0,1534,1494,40,0,0,
2021,11,OO,SkyWest Airlines Inc.,DDC,"Dodge City, KS: Dodge City Regional",50,6,5,0,1,0,0,0,0,321,292,0,29,0,
